"athlete_id","pos_type_id","pos_type_name","pos_type_abbreviation","pos_type_parent_id"
"85","6","Wide Receiver","WR","4"
"86","9","Linebacker","LB","1"
"87","3","Defensive Back","DB","1"
"88","12","Cornerback","CB","3"
"89","16","Offensive Tackle","OT","4"
"90","8","Safety","S","3"
"91","5","Running Back","RB","4"
"92","8","Safety","S","3"
"93","19","Long Snapper","LS","14"
"94","6","Wide Receiver","WR","4"
"95","6","Wide Receiver","WR","4"
"96","7","Defensive End","DE","1"
"97","2","Defensive Tackle","DT","1"
"98","12","Cornerback","CB","3"
"99","6","Wide Receiver","WR","4"
"100","9","Linebacker","LB","1"
"101","16","Offensive Tackle","OT","4"
"102","9","Linebacker","LB","1"
"103","7","Defensive End","DE","1"
"104","9","Linebacker","LB","1"
"105","8","Safety","S","3"
"106","7","Defensive End","DE","1"
"107","20","Defensive Lineman","DL","1"
"108","6","Wide Receiver","WR","4"
"109","9","Linebacker","LB","1"
"110","12","Cornerback","CB","3"
"111","17","Tight End","TE","4"
"112","9","Linebacker","LB","1"
"113","6","Wide Receiver","WR","4"
"114","19","Long Snapper","LS","14"
"115","17","Tight End","TE","4"
"116","9","Linebacker","LB","1"
"117","21","Strong Safety","SS","8"
"118","7","Defensive End","DE","1"
"119","11","Guard","G",\N
"120","2","Defensive Tackle","DT","1"
"121","5","Running Back","RB","4"
"122","20","Defensive Lineman","DL","1"
"123","6","Wide Receiver","WR","4"
"124","2","Defensive Tackle","DT","1"
"125","6","Wide Receiver","WR","4"
"126","2","Defensive Tackle","DT","1"
"127","22","Fullback","FB","5"
"128","7","Defensive End","DE","1"
"129","12","Cornerback","CB","3"
"130","7","Defensive End","DE","1"
"131","15","Place kicker","PK","14"
"132","9","Linebacker","LB","1"
"133","6","Wide Receiver","WR","4"
"134","23","Punter","P","14"
"135","6","Wide Receiver","WR","4"
"136","7","Defensive End","DE","1"
"137","7","Defensive End","DE","1"
"138","24","Quarterback","QB","4"
"139","15","Place kicker","PK","14"
"140","5","Running Back","RB","4"
"141","11","Guard","G",\N
"142","2","Defensive Tackle","DT","1"
"143","16","Offensive Tackle","OT","4"
"144","19","Long Snapper","LS","14"
"145","6","Wide Receiver","WR","4"
"146","6","Wide Receiver","WR","4"
"147","8","Safety","S","3"
"148","24","Quarterback","QB","4"
"149","7","Defensive End","DE","1"
"150","18","Offensive Lineman","OL","4"
"151","9","Linebacker","LB","1"
"152","6","Wide Receiver","WR","4"
"153","5","Running Back","RB","4"
"154","9","Linebacker","LB","1"
"155","9","Linebacker","LB","1"
"156","6","Wide Receiver","WR","4"
"157","6","Wide Receiver","WR","4"
"158","3","Defensive Back","DB","1"
"159","5","Running Back","RB","4"
"160","15","Place kicker","PK","14"
"161","6","Wide Receiver","WR","4"
"162","6","Wide Receiver","WR","4"
"163","2","Defensive Tackle","DT","1"
"164","16","Offensive Tackle","OT","4"
"165","2","Defensive Tackle","DT","1"
"166","6","Wide Receiver","WR","4"
"167","3","Defensive Back","DB","1"
"168","9","Linebacker","LB","1"
"169","17","Tight End","TE","4"
"170","6","Wide Receiver","WR","4"
"171","9","Linebacker","LB","1"
"172","5","Running Back","RB","4"
"173","9","Linebacker","LB","1"
"174","16","Offensive Tackle","OT","4"
"175","9","Linebacker","LB","1"
"176","7","Defensive End","DE","1"
"177","16","Offensive Tackle","OT","4"
"178","16","Offensive Tackle","OT","4"
"179","16","Offensive Tackle","OT","4"
"180","9","Linebacker","LB","1"
"181","18","Offensive Lineman","OL","4"
"182","9","Linebacker","LB","1"
"183","7","Defensive End","DE","1"
"184","9","Linebacker","LB","1"
"185","19","Long Snapper","LS","14"
"186","17","Tight End","TE","4"
"187","9","Linebacker","LB","1"
"188","7","Defensive End","DE","1"
"189","21","Strong Safety","SS","8"
"190","9","Linebacker","LB","1"
"191","2","Defensive Tackle","DT","1"
"192","9","Linebacker","LB","1"
"193","2","Defensive Tackle","DT","1"
"194","12","Cornerback","CB","3"
"195","5","Running Back","RB","4"
"196","25","Free Safety","FS","8"
"197","3","Defensive Back","DB","1"
"198","9","Linebacker","LB","1"
"199","6","Wide Receiver","WR","4"
"200","2","Defensive Tackle","DT","1"
"201","13","Center","C","4"
"202","6","Wide Receiver","WR","4"
"203","6","Wide Receiver","WR","4"
"204","7","Defensive End","DE","1"
"205","9","Linebacker","LB","1"
"206","9","Linebacker","LB","1"
"207","9","Linebacker","LB","1"
"208","7","Defensive End","DE","1"
"209","8","Safety","S","3"
"210","23","Punter","P","14"
"211","12","Cornerback","CB","3"
"212","9","Linebacker","LB","1"
"213","8","Safety","S","3"
"214","12","Cornerback","CB","3"
"215","6","Wide Receiver","WR","4"
"216","9","Linebacker","LB","1"
"217","9","Linebacker","LB","1"
"218","9","Linebacker","LB","1"
"219","12","Cornerback","CB","3"
"220","9","Linebacker","LB","1"
"221","6","Wide Receiver","WR","4"
"222","9","Linebacker","LB","1"
"223","9","Linebacker","LB","1"
"224","3","Defensive Back","DB","1"
"225","5","Running Back","RB","4"
"226","17","Tight End","TE","4"
"227","12","Cornerback","CB","3"
"228","11","Guard","G",\N
"229","12","Cornerback","CB","3"
"230","7","Defensive End","DE","1"
"231","7","Defensive End","DE","1"
"232","5","Running Back","RB","4"
"233","9","Linebacker","LB","1"
"234","6","Wide Receiver","WR","4"
"235","12","Cornerback","CB","3"
"236","26","Offensive Guard","OG","4"
"237","2","Defensive Tackle","DT","1"
"238","6","Wide Receiver","WR","4"
"239","12","Cornerback","CB","3"
"240","13","Center","C","4"
"241","22","Fullback","FB","5"
"242","6","Wide Receiver","WR","4"
"243","5","Running Back","RB","4"
"244","7","Defensive End","DE","1"
"245","17","Tight End","TE","4"
"246","9","Linebacker","LB","1"
"247","17","Tight End","TE","4"
"248","16","Offensive Tackle","OT","4"
"249","11","Guard","G",\N
"250","26","Offensive Guard","OG","4"
"251","5","Running Back","RB","4"
"252","8","Safety","S","3"
"253","5","Running Back","RB","4"
"254","12","Cornerback","CB","3"
"255","24","Quarterback","QB","4"
"256","17","Tight End","TE","4"
"257","2","Defensive Tackle","DT","1"
"258","5","Running Back","RB","4"
"259","24","Quarterback","QB","4"
"260","7","Defensive End","DE","1"
"261","9","Linebacker","LB","1"
"262","5","Running Back","RB","4"
"263","12","Cornerback","CB","3"
"264","13","Center","C","4"
"265","8","Safety","S","3"
"266","9","Linebacker","LB","1"
"267","17","Tight End","TE","4"
"268","9","Linebacker","LB","1"
"269","12","Cornerback","CB","3"
"270","9","Linebacker","LB","1"
"271","7","Defensive End","DE","1"
"272","5","Running Back","RB","4"
"273","17","Tight End","TE","4"
"274","10","Unknown","-",\N
"275","11","Guard","G",\N
"276","9","Linebacker","LB","1"
"277","6","Wide Receiver","WR","4"
"278","17","Tight End","TE","4"
"279","12","Cornerback","CB","3"
"280","6","Wide Receiver","WR","4"
"281","26","Offensive Guard","OG","4"
"282","13","Center","C","4"
"283","6","Wide Receiver","WR","4"
"284","5","Running Back","RB","4"
"285","9","Linebacker","LB","1"
"286","7","Defensive End","DE","1"
"287","3","Defensive Back","DB","1"
"288","5","Running Back","RB","4"
"289","7","Defensive End","DE","1"
"290","11","Guard","G",\N
"291","2","Defensive Tackle","DT","1"
"292","13","Center","C","4"
"293","24","Quarterback","QB","4"
"294","17","Tight End","TE","4"
"295","5","Running Back","RB","4"
"296","6","Wide Receiver","WR","4"
"297","2","Defensive Tackle","DT","1"
"298","23","Punter","P","14"
"299","24","Quarterback","QB","4"
"300","26","Offensive Guard","OG","4"
"301","13","Center","C","4"
"302","5","Running Back","RB","4"
"303","9","Linebacker","LB","1"
"304","23","Punter","P","14"
"305","8","Safety","S","3"
"306","7","Defensive End","DE","1"
"307","9","Linebacker","LB","1"
"308","17","Tight End","TE","4"
"309","8","Safety","S","3"
"310","26","Offensive Guard","OG","4"
"311","9","Linebacker","LB","1"
"312","23","Punter","P","14"
"313","3","Defensive Back","DB","1"
"314","5","Running Back","RB","4"
"315","6","Wide Receiver","WR","4"
"316","10","Unknown","-",\N
"317","17","Tight End","TE","4"
"318","3","Defensive Back","DB","1"
"319","8","Safety","S","3"
"320","26","Offensive Guard","OG","4"
"321","7","Defensive End","DE","1"
"322","11","Guard","G",\N
"323","5","Running Back","RB","4"
"324","9","Linebacker","LB","1"
"325","5","Running Back","RB","4"
"326","2","Defensive Tackle","DT","1"
"327","6","Wide Receiver","WR","4"
"328","6","Wide Receiver","WR","4"
"329","12","Cornerback","CB","3"
"330","9","Linebacker","LB","1"
"331","3","Defensive Back","DB","1"
"332","9","Linebacker","LB","1"
"333","17","Tight End","TE","4"
"334","2","Defensive Tackle","DT","1"
"335","15","Place kicker","PK","14"
"336","9","Linebacker","LB","1"
"337","11","Guard","G",\N
"338","12","Cornerback","CB","3"
"339","9","Linebacker","LB","1"
"340","9","Linebacker","LB","1"
"341","6","Wide Receiver","WR","4"
"342","22","Fullback","FB","5"
"343","16","Offensive Tackle","OT","4"
"344","16","Offensive Tackle","OT","4"
"345","2","Defensive Tackle","DT","1"
"346","2","Defensive Tackle","DT","1"
"347","23","Punter","P","14"
"348","8","Safety","S","3"
"349","13","Center","C","4"
"350","17","Tight End","TE","4"
"351","19","Long Snapper","LS","14"
"352","3","Defensive Back","DB","1"
"353","12","Cornerback","CB","3"
"354","9","Linebacker","LB","1"
"355","16","Offensive Tackle","OT","4"
"356","6","Wide Receiver","WR","4"
"357","12","Cornerback","CB","3"
"358","6","Wide Receiver","WR","4"
"359","7","Defensive End","DE","1"
"360","11","Guard","G",\N
"361","15","Place kicker","PK","14"
"362","18","Offensive Lineman","OL","4"
"363","8","Safety","S","3"
"364","6","Wide Receiver","WR","4"
"365","8","Safety","S","3"
"366","12","Cornerback","CB","3"
"367","8","Safety","S","3"
"368","12","Cornerback","CB","3"
"369","5","Running Back","RB","4"
"370","12","Cornerback","CB","3"
"371","7","Defensive End","DE","1"
"372","7","Defensive End","DE","1"
"373","11","Guard","G",\N
"374","5","Running Back","RB","4"
"375","15","Place kicker","PK","14"
"376","9","Linebacker","LB","1"
"377","2","Defensive Tackle","DT","1"
"378","16","Offensive Tackle","OT","4"
"379","5","Running Back","RB","4"
"380","7","Defensive End","DE","1"
"381","26","Offensive Guard","OG","4"
"382","12","Cornerback","CB","3"
"383","5","Running Back","RB","4"
"384","5","Running Back","RB","4"
"385","16","Offensive Tackle","OT","4"
"386","26","Offensive Guard","OG","4"
"387","9","Linebacker","LB","1"
"388","17","Tight End","TE","4"
"389","8","Safety","S","3"
"390","17","Tight End","TE","4"
"391","6","Wide Receiver","WR","4"
"392","5","Running Back","RB","4"
"393","5","Running Back","RB","4"
"394","3","Defensive Back","DB","1"
"395","6","Wide Receiver","WR","4"
"396","2","Defensive Tackle","DT","1"
"397","22","Fullback","FB","5"
"398","24","Quarterback","QB","4"
"399","6","Wide Receiver","WR","4"
"400","24","Quarterback","QB","4"
"401","7","Defensive End","DE","1"
"402","3","Defensive Back","DB","1"
"403","3","Defensive Back","DB","1"
"404","9","Linebacker","LB","1"
"405","2","Defensive Tackle","DT","1"
"406","6","Wide Receiver","WR","4"
"407","15","Place kicker","PK","14"
"408","5","Running Back","RB","4"
"409","7","Defensive End","DE","1"
"410","11","Guard","G",\N
"411","13","Center","C","4"
"412","16","Offensive Tackle","OT","4"
"413","7","Defensive End","DE","1"
"414","5","Running Back","RB","4"
"415","9","Linebacker","LB","1"
"416","5","Running Back","RB","4"
"417","17","Tight End","TE","4"
"418","6","Wide Receiver","WR","4"
"419","6","Wide Receiver","WR","4"
"420","9","Linebacker","LB","1"
"421","16","Offensive Tackle","OT","4"
"422","9","Linebacker","LB","1"
"423","9","Linebacker","LB","1"
"424","9","Linebacker","LB","1"
"425","7","Defensive End","DE","1"
"426","9","Linebacker","LB","1"
"427","7","Defensive End","DE","1"
"428","3","Defensive Back","DB","1"
"429","5","Running Back","RB","4"
"430","7","Defensive End","DE","1"
"431","5","Running Back","RB","4"
"432","9","Linebacker","LB","1"
"433","5","Running Back","RB","4"
"434","7","Defensive End","DE","1"
"435","12","Cornerback","CB","3"
"436","10","Unknown","-",\N
"437","12","Cornerback","CB","3"
"438","22","Fullback","FB","5"
"439","5","Running Back","RB","4"
"440","6","Wide Receiver","WR","4"
"441","17","Tight End","TE","4"
"442","17","Tight End","TE","4"
"443","9","Linebacker","LB","1"
"444","13","Center","C","4"
"445","23","Punter","P","14"
"446","2","Defensive Tackle","DT","1"
"447","6","Wide Receiver","WR","4"
"448","10","Unknown","-",\N
"449","11","Guard","G",\N
"450","17","Tight End","TE","4"
"451","6","Wide Receiver","WR","4"
"452","9","Linebacker","LB","1"
"453","2","Defensive Tackle","DT","1"
"454","5","Running Back","RB","4"
"455","8","Safety","S","3"
"456","8","Safety","S","3"
"457","16","Offensive Tackle","OT","4"
"458","9","Linebacker","LB","1"
"459","8","Safety","S","3"
"460","7","Defensive End","DE","1"
"461","9","Linebacker","LB","1"
"462","5","Running Back","RB","4"
"463","6","Wide Receiver","WR","4"
"464","13","Center","C","4"
"465","13","Center","C","4"
"466","11","Guard","G",\N
"467","17","Tight End","TE","4"
"468","26","Offensive Guard","OG","4"
"469","16","Offensive Tackle","OT","4"
"470","12","Cornerback","CB","3"
"471","16","Offensive Tackle","OT","4"
"472","16","Offensive Tackle","OT","4"
"473","15","Place kicker","PK","14"
"474","26","Offensive Guard","OG","4"
"475","9","Linebacker","LB","1"
"476","17","Tight End","TE","4"
"477","23","Punter","P","14"
"478","9","Linebacker","LB","1"
"479","12","Cornerback","CB","3"
"480","17","Tight End","TE","4"
"481","9","Linebacker","LB","1"
"482","2","Defensive Tackle","DT","1"
"483","9","Linebacker","LB","1"
"484","9","Linebacker","LB","1"
"485","17","Tight End","TE","4"
"486","24","Quarterback","QB","4"
"487","9","Linebacker","LB","1"
"488","7","Defensive End","DE","1"
"489","7","Defensive End","DE","1"
"490","9","Linebacker","LB","1"
"491","8","Safety","S","3"
"492","6","Wide Receiver","WR","4"
"493","12","Cornerback","CB","3"
"494","6","Wide Receiver","WR","4"
"495","10","Unknown","-",\N
"496","9","Linebacker","LB","1"
"497","6","Wide Receiver","WR","4"
"498","2","Defensive Tackle","DT","1"
"499","7","Defensive End","DE","1"
"500","20","Defensive Lineman","DL","1"
"501","20","Defensive Lineman","DL","1"
"502","12","Cornerback","CB","3"
"503","9","Linebacker","LB","1"
"504","9","Linebacker","LB","1"
"505","9","Linebacker","LB","1"
"506","12","Cornerback","CB","3"
"507","12","Cornerback","CB","3"
"508","16","Offensive Tackle","OT","4"
"509","9","Linebacker","LB","1"
"510","23","Punter","P","14"
"511","23","Punter","P","14"
"512","17","Tight End","TE","4"
"513","6","Wide Receiver","WR","4"
"514","6","Wide Receiver","WR","4"
"515","7","Defensive End","DE","1"
"516","9","Linebacker","LB","1"
"517","5","Running Back","RB","4"
"518","24","Quarterback","QB","4"
"519","2","Defensive Tackle","DT","1"
"520","5","Running Back","RB","4"
"521","3","Defensive Back","DB","1"
"522","16","Offensive Tackle","OT","4"
"523","11","Guard","G",\N
"524","3","Defensive Back","DB","1"
"525","15","Place kicker","PK","14"
"526","6","Wide Receiver","WR","4"
"527","9","Linebacker","LB","1"
"528","17","Tight End","TE","4"
"529","11","Guard","G",\N
"530","5","Running Back","RB","4"
"531","9","Linebacker","LB","1"
"532","10","Unknown","-",\N
"533","21","Strong Safety","SS","8"
"534","6","Wide Receiver","WR","4"
"535","12","Cornerback","CB","3"
"536","2","Defensive Tackle","DT","1"
"537","7","Defensive End","DE","1"
"538","9","Linebacker","LB","1"
"539","5","Running Back","RB","4"
"540","16","Offensive Tackle","OT","4"
"541","6","Wide Receiver","WR","4"
"542","6","Wide Receiver","WR","4"
"543","9","Linebacker","LB","1"
"544","16","Offensive Tackle","OT","4"
"545","16","Offensive Tackle","OT","4"
"546","12","Cornerback","CB","3"
"547","6","Wide Receiver","WR","4"
"548","10","Unknown","-",\N
"549","7","Defensive End","DE","1"
"550","16","Offensive Tackle","OT","4"
"551","13","Center","C","4"
"552","9","Linebacker","LB","1"
"553","7","Defensive End","DE","1"
"554","17","Tight End","TE","4"
"555","10","Unknown","-",\N
"556","12","Cornerback","CB","3"
"557","7","Defensive End","DE","1"
"558","17","Tight End","TE","4"
"559","8","Safety","S","3"
"560","6","Wide Receiver","WR","4"
"561","23","Punter","P","14"
"562","9","Linebacker","LB","1"
"563","12","Cornerback","CB","3"
"564","9","Linebacker","LB","1"
"565","6","Wide Receiver","WR","4"
"566","6","Wide Receiver","WR","4"
"567","5","Running Back","RB","4"
"568","12","Cornerback","CB","3"
"569","9","Linebacker","LB","1"
"570","17","Tight End","TE","4"
"571","26","Offensive Guard","OG","4"
"572","5","Running Back","RB","4"
"573","8","Safety","S","3"
"574","6","Wide Receiver","WR","4"
"575","7","Defensive End","DE","1"
"576","16","Offensive Tackle","OT","4"
"577","16","Offensive Tackle","OT","4"
"578","11","Guard","G",\N
"579","9","Linebacker","LB","1"
"580","6","Wide Receiver","WR","4"
"581","9","Linebacker","LB","1"
"582","8","Safety","S","3"
"583","2","Defensive Tackle","DT","1"
"584","19","Long Snapper","LS","14"
"585","17","Tight End","TE","4"
"586","6","Wide Receiver","WR","4"
"587","16","Offensive Tackle","OT","4"
"588","16","Offensive Tackle","OT","4"
"589","13","Center","C","4"
"590","16","Offensive Tackle","OT","4"
"591","17","Tight End","TE","4"
"592","11","Guard","G",\N
"593","26","Offensive Guard","OG","4"
"594","5","Running Back","RB","4"
"595","9","Linebacker","LB","1"
"596","5","Running Back","RB","4"
"597","22","Fullback","FB","5"
"598","12","Cornerback","CB","3"
"599","2","Defensive Tackle","DT","1"
"600","9","Linebacker","LB","1"
"601","8","Safety","S","3"
"602","12","Cornerback","CB","3"
"603","18","Offensive Lineman","OL","4"
"604","12","Cornerback","CB","3"
"605","22","Fullback","FB","5"
"606","8","Safety","S","3"
"607","6","Wide Receiver","WR","4"
"608","7","Defensive End","DE","1"
"609","9","Linebacker","LB","1"
"610","25","Free Safety","FS","8"
"611","2","Defensive Tackle","DT","1"
"612","16","Offensive Tackle","OT","4"
"613","2","Defensive Tackle","DT","1"
"614","7","Defensive End","DE","1"
"615","2","Defensive Tackle","DT","1"
"616","10","Unknown","-",\N
"617","3","Defensive Back","DB","1"
"618","13","Center","C","4"
"619","16","Offensive Tackle","OT","4"
"620","5","Running Back","RB","4"
"621","3","Defensive Back","DB","1"
"622","9","Linebacker","LB","1"
"623","25","Free Safety","FS","8"
"624","6","Wide Receiver","WR","4"
"625","15","Place kicker","PK","14"
"626","8","Safety","S","3"
"627","17","Tight End","TE","4"
"628","17","Tight End","TE","4"
"629","20","Defensive Lineman","DL","1"
"630","3","Defensive Back","DB","1"
"631","6","Wide Receiver","WR","4"
"632","2","Defensive Tackle","DT","1"
"633","2","Defensive Tackle","DT","1"
"634","16","Offensive Tackle","OT","4"
"635","24","Quarterback","QB","4"
"636","17","Tight End","TE","4"
"637","6","Wide Receiver","WR","4"
"638","13","Center","C","4"
"639","12","Cornerback","CB","3"
"640","3","Defensive Back","DB","1"
"641","12","Cornerback","CB","3"
"642","10","Unknown","-",\N
"643","6","Wide Receiver","WR","4"
"644","3","Defensive Back","DB","1"
"645","3","Defensive Back","DB","1"
"646","10","Unknown","-",\N
"647","26","Offensive Guard","OG","4"
"648","6","Wide Receiver","WR","4"
"649","6","Wide Receiver","WR","4"
"650","6","Wide Receiver","WR","4"
"651","26","Offensive Guard","OG","4"
"652","6","Wide Receiver","WR","4"
"653","6","Wide Receiver","WR","4"
"654","27","Nose Tackle","NT","2"
"655","5","Running Back","RB","4"
"656","7","Defensive End","DE","1"
"657","2","Defensive Tackle","DT","1"
"658","6","Wide Receiver","WR","4"
"659","12","Cornerback","CB","3"
"660","11","Guard","G",\N
"661","9","Linebacker","LB","1"
"662","2","Defensive Tackle","DT","1"
"663","6","Wide Receiver","WR","4"
"664","7","Defensive End","DE","1"
"665","5","Running Back","RB","4"
"666","2","Defensive Tackle","DT","1"
"667","5","Running Back","RB","4"
"668","12","Cornerback","CB","3"
"669","6","Wide Receiver","WR","4"
"670","11","Guard","G",\N
"671","7","Defensive End","DE","1"
"672","17","Tight End","TE","4"
"673","7","Defensive End","DE","1"
"674","5","Running Back","RB","4"
"675","9","Linebacker","LB","1"
"676","16","Offensive Tackle","OT","4"
"677","11","Guard","G",\N
"678","12","Cornerback","CB","3"
"679","9","Linebacker","LB","1"
"680","5","Running Back","RB","4"
"681","16","Offensive Tackle","OT","4"
"682","9","Linebacker","LB","1"
"683","6","Wide Receiver","WR","4"
"684","9","Linebacker","LB","1"
"685","7","Defensive End","DE","1"
"686","9","Linebacker","LB","1"
"687","9","Linebacker","LB","1"
"688","2","Defensive Tackle","DT","1"
"689","6","Wide Receiver","WR","4"
"690","10","Unknown","-",\N
"691","12","Cornerback","CB","3"
"692","24","Quarterback","QB","4"
"693","13","Center","C","4"
"694","17","Tight End","TE","4"
"695","3","Defensive Back","DB","1"
"696","10","Unknown","-",\N
"697","17","Tight End","TE","4"
"698","9","Linebacker","LB","1"
"699","2","Defensive Tackle","DT","1"
"700","21","Strong Safety","SS","8"
"701","26","Offensive Guard","OG","4"
"702","6","Wide Receiver","WR","4"
"703","22","Fullback","FB","5"
"704","9","Linebacker","LB","1"
"705","6","Wide Receiver","WR","4"
"706","17","Tight End","TE","4"
"707","16","Offensive Tackle","OT","4"
"708","3","Defensive Back","DB","1"
"709","10","Unknown","-",\N
"710","2","Defensive Tackle","DT","1"
"711","12","Cornerback","CB","3"
"712","6","Wide Receiver","WR","4"
"713","26","Offensive Guard","OG","4"
"714","6","Wide Receiver","WR","4"
"715","15","Place kicker","PK","14"
"716","5","Running Back","RB","4"
"717","5","Running Back","RB","4"
"718","15","Place kicker","PK","14"
"719","24","Quarterback","QB","4"
"720","17","Tight End","TE","4"
"721","9","Linebacker","LB","1"
"722","9","Linebacker","LB","1"
"723","24","Quarterback","QB","4"
"724","15","Place kicker","PK","14"
"725","6","Wide Receiver","WR","4"
"726","10","Unknown","-",\N
"727","7","Defensive End","DE","1"
"728","18","Offensive Lineman","OL","4"
"729","5","Running Back","RB","4"
"730","9","Linebacker","LB","1"
"731","9","Linebacker","LB","1"
"732","12","Cornerback","CB","3"
"733","15","Place kicker","PK","14"
"734","8","Safety","S","3"
"735","5","Running Back","RB","4"
"736","12","Cornerback","CB","3"
"737","6","Wide Receiver","WR","4"
"738","23","Punter","P","14"
"739","7","Defensive End","DE","1"
"740","5","Running Back","RB","4"
"741","6","Wide Receiver","WR","4"
"742","10","Unknown","-",\N
"743","9","Linebacker","LB","1"
"744","6","Wide Receiver","WR","4"
"745","9","Linebacker","LB","1"
"746","9","Linebacker","LB","1"
"747","16","Offensive Tackle","OT","4"
"748","6","Wide Receiver","WR","4"
"749","3","Defensive Back","DB","1"
"750","7","Defensive End","DE","1"
"751","6","Wide Receiver","WR","4"
"752","6","Wide Receiver","WR","4"
"753","7","Defensive End","DE","1"
"754","6","Wide Receiver","WR","4"
"755","6","Wide Receiver","WR","4"
"756","11","Guard","G",\N
"757","10","Unknown","-",\N
"758","7","Defensive End","DE","1"
"759","12","Cornerback","CB","3"
"760","17","Tight End","TE","4"
"761","2","Defensive Tackle","DT","1"
"762","8","Safety","S","3"
"763","2","Defensive Tackle","DT","1"
"764","17","Tight End","TE","4"
"765","2","Defensive Tackle","DT","1"
"766","6","Wide Receiver","WR","4"
"767","12","Cornerback","CB","3"
"768","6","Wide Receiver","WR","4"
"769","5","Running Back","RB","4"
"770","6","Wide Receiver","WR","4"
"771","3","Defensive Back","DB","1"
"772","22","Fullback","FB","5"
"773","5","Running Back","RB","4"
"774","23","Punter","P","14"
"775","6","Wide Receiver","WR","4"
"776","6","Wide Receiver","WR","4"
"777","9","Linebacker","LB","1"
"778","23","Punter","P","14"
"779","15","Place kicker","PK","14"
"780","17","Tight End","TE","4"
"781","6","Wide Receiver","WR","4"
"782","3","Defensive Back","DB","1"
"783","9","Linebacker","LB","1"
"784","8","Safety","S","3"
"785","6","Wide Receiver","WR","4"
"786","5","Running Back","RB","4"
"787","7","Defensive End","DE","1"
"788","9","Linebacker","LB","1"
"789","16","Offensive Tackle","OT","4"
"790","3","Defensive Back","DB","1"
"791","6","Wide Receiver","WR","4"
"792","16","Offensive Tackle","OT","4"
"793","6","Wide Receiver","WR","4"
"794","23","Punter","P","14"
"795","12","Cornerback","CB","3"
"796","8","Safety","S","3"
"797","16","Offensive Tackle","OT","4"
"798","9","Linebacker","LB","1"
"799","17","Tight End","TE","4"
"800","26","Offensive Guard","OG","4"
"801","9","Linebacker","LB","1"
"802","16","Offensive Tackle","OT","4"
"803","11","Guard","G",\N
"804","16","Offensive Tackle","OT","4"
"805","6","Wide Receiver","WR","4"
"806","6","Wide Receiver","WR","4"
"807","7","Defensive End","DE","1"
"808","12","Cornerback","CB","3"
